,WILAYAH,SLTA/SEDERAJAT_P,DIPLOMA I/II_P,AKADEMI/DIPLOMA III/S.MUDA_P,DIPLOMA IV/STRATA I_P,STRATA II_P,STRATA III_P,TOTAL,proxy_tingkat_literasi_digital
1,KARANG PILANG,12596,417,859,4910,299,18,19099,1.253984564020577
6,WONOCOLO,12223,338,855,5694,450,27,19587,1.2860252188842891
12,RUNGKUT,18220,534,1483,11299,932,72,32540,2.1364813714450794
19,WONOKROMO,26687,600,1370,8860,481,21,38019,2.4962165107858167
26,TEGALSARI,17846,286,737,4071,186,8,23134,1.5189108803629523
32,SAWAHAN,30576,329,1294,7765,426,9,40399,2.652480360326053
39,GENTENG,9218,161,385,2928,128,5,12825,0.8420520463670296
45,GUBENG,22224,328,1738,10106,592,37,35025,2.299639214347385
52,SUKOLILO,15254,547,1076,9753,1011,117,27758,1.8225092166125543
60,TAMBAKSARI,33439,698,1669,9385,513,30,45734,3.0027608801988093
69,SIMOKERTO,11449,110,362,2366,93,1,14381,0.944214462284932
75,PABEAN CANTIAN,9697,113,393,2200,102,1,12506,0.8211074379622669
80,BUBUTAN,14924,185,684,3460,156,10,19419,1.2749948295049784
86,TANDES,14585,302,1011,5076,229,8,21211,1.392652316217627
93,KREMBANGAN,14005,369,443,3245,165,7,18234,1.197191190133054
99,SEMAMPIR,16063,235,495,2660,115,4,19572,1.285040362689708
105,KENJERAN,21025,359,746,3433,167,3,25733,1.6895536303440757
110,LAKARSANTRI,9161,209,468,3623,211,9,13681,0.8982545065378038
117,BENOWO,11448,127,631,2820,111,4,15141,0.9941138428103856
122,WIYUNG,11671,257,858,5757,366,19,18928,1.24275720340235
127,DUKUH PAKIS,9635,233,599,4028,209,13,14717,0.9662752410435537
132,GAYUNGAN,6754,245,605,4254,398,29,12285,0.8065972233621022
137,JAMBANGAN,8406,261,797,4669,366,26,14525,0.9536690817529127
142,TENGGILIS MEJOYO,9098,252,721,4608,340,22,15041,0.9875481348465103
147,GUNUNG ANYAR,8745,307,805,6017,466,34,16374,1.0750690220049703
152,MULYOREJO,12698,360,808,8112,550,60,22588,1.4830621148801924
159,SUKOMANUNGGAL,16521,361,706,5118,234,11,22951,1.50689563478906
166,ASEM ROWO,4752,83,144,892,52,0,5923,0.3888868827003444
170,BULAK,6171,120,334,1914,105,7,8651,0.5679993959548674
175,PAKAL,9899,152,597,3191,141,6,13986,0.9182799158276239
180,SAMBIKEREP,10179,195,692,4132,204,6,15408,1.0116442830739332
