Kecamatan,Jumlah Penduduk
Pakal,64515
Benowo,74933
Asemrowo,48841
Krembangan,114866
Bubutan,96704
Pabean Cantian,73931
Semampir,183295
Simokerto,92057
Bulak,47839
Kenjeran,185294
Tambaksari,227025
Genteng,58216
Tegalsari,97511
Sawahan,198516
Sukomanunggal,104166
Tandes,91784
Sambikerep,69076
Lakarsantri,65013
Wiyung,76501
Dukuh Pakis,59345
Wonokromo,153563
Gubeng,132382
Mulyorejo,88214
Sukolilo,115913
Rungkut,123653
Gunung Anyar,62342
Tenggilis Mejoyo,58932
Wonocolo,80034
Gayungan,43846
Jambangan,54212
Karang Pilang,75503
