Kecamatan,Jumlah Penduduk
Karangpilang,75164
Jambangan,54140
Gayungan,43480
Wonocolo,79530
Tenggilis Mejoyo,58645
Gunung Anyar,62669
Rungkut,123956
Sukolilo,115944
Mulyorejo,87932
Gubeng,131164
Wonokromo,151571
Dukuh Pakis,59185
Wiyung,76770
Lakarsantri,65497
Sambikerep,69584
Tandes,90999
Sukomanunggal,102681
Sawahan,196811
Tegalsari,96237
Genteng,57255
Tambaksari,225939
Kenjeran,186189
Bulak,48118
Simokerto,90663
Semampir,181769
Pabean Cantian,72505
Bubutan,95522
Krembangan,113890
Asemrowo,48849
Benowo,75716
Pakal,65360
