kecamatan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banyaknya Penduduk Menurut Pendidikan dan Jenis Kelamin per Kecamatan Hasil Registrasi (Jiwa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakarsantri,9645,9198,18843,1947,1881,3828,3943,4919,8862,3070,3047,6117,8580,7655,16235,157,209,366,291,408,699,2947,3153,6100,196,161,357,11,4,15
Sambikerep,8055,7810,15865,2911,2798,5709,3782,4860,8642,3723,4221,7944,9696,8725,18421,156,194,350,464,635,1099,3569,3600,7169,254,171,425,10,4,14
Tandes,12301,11872,24173,4005,3794,7799,3823,5491,9314,4908,5721,10629,14097,13288,27385,264,315,579,731,980,1711,4645,4757,9402,262,200,462,4,4,8
Sukomanunggal,14428,13611,28039,3746,3738,7484,5462,7209,12671,5818,6260,12078,16340,15343,31683,247,379,626,489,670,1159,4763,4844,9607,250,210,460,17,7,24
Sawahan,31529,29673,61202,5002,4881,9883,12232,16316,28548,11775,13076,24851,29582,28080,57662,311,342,653,968,1273,2241,7095,7324,14419,453,399,852,24,6,30
Tegalsari,10414,9974,20388,4607,4322,8929,4103,6030,10133,5839,6572,12411,18511,17627,36138,233,293,526,658,745,1403,3852,4078,7930,229,173,402,20,8,28
Genteng,6702,6500,13202,2488,2539,5027,3359,4378,7737,3553,3995,7548,9087,8723,17810,125,173,298,255,358,613,2743,2850,5593,147,115,262,19,5,24
Tambaksari,37203,34790,71993,4733,4719,9452,14129,18170,32299,13424,14584,28008,31442,30158,61600,637,741,1378,1046,1570,2616,8127,8604,16731,568,474,1042,31,30,61
Kenjeran,26524,25379,51903,7566,7450,15016,17488,20393,37881,11171,11203,22374,21185,18022,39207,345,385,730,325,629,954,2844,2974,5818,154,135,289,5,3,8
Bulak,6759,6565,13324,1632,1490,3122,3604,4417,8021,2855,2834,5689,5725,5269,10994,122,120,242,246,294,540,1529,1710,3239,141,95,236,9,4,13
Simokerto,12908,12531,25439,4318,3911,8229,8451,10564,19015,6305,6598,12903,12029,10635,22664,83,112,195,242,338,580,2198,2345,4543,135,84,219,5,1,6
Semampir,25821,25066,50887,9603,9491,19094,21420,25513,46933,14952,13748,28700,16903,14177,31080,247,249,496,371,474,845,2495,2548,5043,148,109,257,6,3,9
Pabean Cantian,10321,9887,20208,2182,2096,4278,6712,8766,15478,4808,5086,9894,10121,9082,19203,106,123,229,360,390,750,2358,2206,4564,119,92,211,5,0,5
Bubutan,11887,11209,23096,4354,4261,8615,6221,8454,14675,6244,6824,13068,15590,14152,29742,137,188,325,524,702,1226,3139,3343,6482,180,148,328,9,7,16
Krembangan,18923,17713,36636,3291,3199,6490,9659,12710,22369,7304,7418,14722,13859,12537,26396,395,388,783,263,408,671,3047,3102,6149,225,162,387,11,4,15
Asemrowo,8665,8118,16783,1172,1162,2334,5474,6134,11608,2823,2852,5675,4729,3920,8649,66,92,158,87,118,205,741,769,1510,63,49,112,2,0,2
Benowo,8326,7976,16302,3183,3070,6253,4730,6262,10992,4460,4822,9282,10904,9388,20292,85,121,206,333,546,879,2086,2155,4241,111,77,188,5,3,8
Pakal,7843,7525,15368,2366,2188,4554,3326,4263,7589,3665,3899,7564,9433,8133,17566,121,146,267,348,494,842,2357,2502,4859,145,99,244,7,5,12
Kota Surabaya,404168,383170,787338,113697,109717,223414,182163,235818,417981,172137,185381,357518,422437,396112,818549,7836,9525,17361,16792,23095,39887,141312,146204,287516,11349,8627,19976,926,486,1412
