kecamatan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banyaknya Penduduk Menurut Pendidikan dan Jenis Kelamin per Kecamatan Hasil Registrasi (Jiwa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tidak/Belum Sekolah,,,Belum Tamat SD/Sederajat,,,Tamat SD/Sederajat,,,SLTP/Sederajat,,,SLTA Sederajat,,,D1/D2,,,D3/Sarjana Muda,,,D4/S1,,,S2,,,S3,,
,2021,,,2021,,,2021,,,2021,,,2021,,,2021,,,2021,,,2021,,,2021,,,2021,,
,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total
Karangpilang,9073,8579,17652,3141,3164,6305,3013,4155,7168,3829,4172,8001,12121,11443,23564,344,455,799,569,793,1362,4357,4473,8830,352,272,624,21,15,36
Jambangan,6078,5746,11824,2421,2333,4754,1585,2414,3999,2462,2737,5199,8227,7866,16093,220,267,487,564,754,1318,4131,4244,8375,443,315,758,27,17,44
Gayungan,5708,5321,11029,1533,1525,3058,1341,1905,3246,1663,1966,3629,5876,6242,12118,196,260,456,393,552,945,3949,4016,7965,503,336,839,32,19,51
Wonocolo,9821,9354,19175,3425,3286,6711,2946,4212,7158,4154,4723,8877,11855,11416,23271,319,361,680,631,859,1490,5419,5488,10907,528,391,919,50,22,72
Tenggilis Mejoyo,6470,6158,12628,2673,2505,5178,2297,3212,5509,3174,3595,6769,8804,8394,17198,174,258,432,461,709,1170,4258,4412,8670,408,322,730,30,15,45
Gunung Anyar,7197,6701,13898,2737,2592,5329,2063,2851,4914,2823,3331,6154,7818,7761,15579,255,339,594,592,739,1331,5434,5470,10904,524,378,902,46,22,68
Rungkut,13735,12988,26723,4627,4429,9056,4425,5875,10300,5770,6727,12497,16948,16482,33430,434,529,963,1090,1382,2472,10085,10432,20517,1054,781,1835,121,69,190
Sukolilo,15875,14879,30754,3396,3340,6736,5966,7299,13265,5595,5931,11526,13077,13340,26417,501,585,1086,739,1005,1744,8783,9154,17937,1088,912,2000,210,87,297
Mulyorejo,11914,11068,22982,2582,2398,4980,3799,4939,8738,4051,4662,8713,11125,11457,22582,297,381,678,538,774,1312,7511,7691,15202,686,489,1175,60,47,107
Gubeng,15111,14086,29197,5931,5702,11633,4463,6824,11287,6882,7904,14786,21540,21348,42888,255,353,608,1220,1755,2975,9647,10091,19738,730,531,1261,61,33,94
Wonokromo,18274,17438,35712,6728,6320,13048,5885,8910,14795,8330,9835,18165,27532,26226,53758,571,664,1235,952,1324,2276,8428,8720,17148,499,446,945,29,15,44
Dukuh Pakis,7522,6918,14440,2295,2204,4499,2822,3725,6547,3074,3356,6430,9094,8947,18041,206,235,441,452,618,1070,3686,3886,7572,304,188,492,19,13,32
Wiyung,9136,8537,17673,3102,2929,6031,3640,4648,8288,3633,3682,7315,10607,10276,20883,227,268,495,590,799,1389,5089,5263,10352,450,313,763,20,14,34
