Kecamatan,Laki-laki,Perempuan
Gayungan,21399,22447
Bulak,23797,24042
Asem Rowo,24636,24205
Jambangan,26828,27384
Genteng,28516,29700
Tenggilis Mejoyo,28982,29950
Dukuh Pakis,29349,29996
Gunung Anyar,30785,31557
Pakal,32377,32138
Lakarsantri,32427,32586
Sambikerep,34299,34777
Pabean Cantian,36682,37249
Benowo,37456,37477
Karang Pilang,37291,38212
Wiyung,38047,38454
Wonocolo,39485,40549
Mulyorejo,43266,44948
Tandes,45099,46685
Simokerto,45759,46298
Bubutan,47922,48782
Tegalsari,48025,49486
Sukomanunggal,51739,52427
Krembangan,57094,57772
Sukolilo,57097,58816
Rungkut,61032,62621
Gubeng,64656,67726
Wonokromo,75291,78272
Semampir,91826,91469
Kenjeran,93195,92099
Sawahan,98074,100442
Tambaksari,112303,114722
