Kecamatan,Laki-laki,Perempuan
Gayungan,21240,22240
Bulak,23922,24196
Asem Rowo,24650,24199
Jambangan,26778,27362
Genteng,28016,29239
Tenggilis Mejoyo,28810,29835
Dukuh Pakis,29289,29896
Gunung Anyar,30950,31719
Pakal,32659,32627
Lakarsantri,32668,32829
Sambikerep,34491,35093
Pabean Cantian,35943,36562
Karang Pilang,37449,38015
Benowo,37797,37919
Wiyung,38157,38613
Wonocolo,39220,40310
Mulyorejo,43125,44807
Simokerto,45092,45571
Tandes,44684,46315
Bubutan,47274,48248
Tegalsari,47339,48898
Sukomanunggal,50977,51704
Krembangan,56569,57321
Sukolilo,57095,58849
Rungkut,61091,62865
Gubeng,64065,67099
Wonokromo,74340,77231
Semampir,91087,90682
Kenjeran,93558,92631
Sawahan,97189,99622
Tambaksari,111653,114286
