,WILAYAH,SLTA/SEDERAJAT_P,DIPLOMA I/II_P,AKADEMI/DIPLOMA III/S.MUDA_P,DIPLOMA IV/STRATA I_P,STRATA II_P,STRATA III_P,TOTAL,proxy_tingkat_literasi_digital
0,KARANG PILANG,16055,492,1005,5723,371,26,23672,1.560671500142077
1,WONOCOLO,15782,428,1012,6719,569,33,24543,1.6180956669477438
2,RUNGKUT,23321,664,1767,13276,1165,104,40297,2.6567412741308414
3,WONOKROMO,34700,739,1610,10558,593,30,48230,3.1797561022242466
4,TEGALSARI,23692,333,881,4906,226,10,30048,1.981034861282069
5,SAWAHAN,40839,392,1534,9246,546,10,52567,3.465690214091271
6,GENTENG,12672,197,488,3564,153,6,17080,1.1260674730663516
7,GUBENG,29374,400,2122,12207,740,45,44888,2.9594213542741445
8,SUKOLILO,20551,664,1258,11547,1240,151,35411,2.3346121363438277
9,TAMBAKSARI,44745,863,1966,11185,644,53,59456,3.9198751568286303
10,SIMOKERTO,15657,124,427,2802,123,1,19134,1.2614856574737454
11,PABEAN CANTIAN,13261,138,469,2625,131,2,16626,1.0961357029977261
12,BUBUTAN,19890,220,816,4158,206,11,25301,1.6680698557407354
13,TANDES,19424,343,1170,5946,297,8,27188,1.7924778956515204
14,KREMBANGAN,19164,452,504,3869,209,7,24205,1.5958116619186793
15,SEMAMPIR,22646,274,557,3151,138,4,26770,1.7649195699055171
16,KENJERAN,28132,427,841,3982,213,4,33599,2.215148772105173
17,LAKARSANTRI,12084,255,543,4223,264,11,17380,1.1458461757548708
18,BENOWO,14741,145,715,3261,139,8,19009,1.2532445313535292
19,WIYUNG,15052,301,996,6685,453,24,23511,1.5500569296992384
20,DUKUH PAKIS,12698,258,727,4730,263,17,18693,1.2324109645216224
21,GAYUNGAN,8900,299,709,5029,499,40,15476,1.0203173426917365
22,JAMBANGAN,10735,310,919,5389,457,28,17838,1.176041661859343
23,TENGGILIS MEJOYO,11673,318,852,5422,424,27,18716,1.2339273317277422
24,GUNUNG ANYAR,11321,374,972,7014,563,55,20299,1.3382929529141612
25,MULYOREJO,16991,443,956,9599,688,75,28752,1.8955908656676665
26,SUKOMANUNGGAL,21222,421,837,5993,284,13,28770,1.8967775878289774
27,ASEM ROWO,6455,94,160,1028,65,1,7803,0.5144440569283807
28,BULAK,8240,143,377,2256,129,8,11153,0.7353062369501768
29,PAKAL,12735,165,690,3687,179,12,17468,1.1516479285435028
30,SAMBIKEREP,13348,234,803,4859,261,6,19511,1.2863408938523178
