kecamatan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banyaknya Penduduk Menurut Pendidikan dan Jenis Kelamin per Kecamatan Hasil Registrasi (Jiwa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tidak/Belum Sekolah,,,Belum Tamat SD/Sederajat,,,Tamat SD/Sederajat,,,SLTP/Sederajat,,,SLTA Sederajat,,,D1/D2,,,D3/Sarjana Muda,,,D4/S1,,,S2,,,S3,,
,2020,,,2020,,,2020,,,2020,,,2020,,,2020,,,2020,,,2020,,,2020,,,2020,,
,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total
Karangpilang,8540,8096,16636,3156,3197,6353,3151,4330,7481,3942,4276,8218,12371,11578,23949,351,462,813,570,772,1342,4396,4448,8844,355,250,605,24,16,40
Jambangan,5655,5345,11000,2448,2384,4832,1615,2473,4088,2512,2787,5299,8313,7925,16238,226,273,499,573,735,1308,4118,4108,8226,426,289,715,28,16,44
Gayungan,5449,5128,10577,1555,1532,3087,1434,1981,3415,1726,2061,3787,6041,6362,12403,203,264,467,397,543,940,4015,3986,8001,504,323,827,31,18,49
Wonocolo,9279,8782,18061,3482,3363,6845,3037,4339,7376,4293,4831,9124,12108,11699,23807,339,367,706,657,865,1522,5489,5437,10926,546,376,922,50,22,72
Tenggilis Mejoyo,6078,5756,11834,2720,2572,5292,2381,3338,5719,3250,3653,6903,8991,8489,17480,183,260,443,474,701,1175,4265,4343,8608,415,319,734,34,17,51
Gunung Anyar,6670,6219,12889,2760,2637,5397,2127,2961,5088,2854,3355,6209,7986,7838,15824,261,345,606,601,727,1328,5431,5343,10774,508,358,866,47,20,67
Rungkut,12831,12145,24976,4671,4476,9147,4574,6086,10660,5846,6846,12692,17288,16711,33999,447,543,990,1087,1351,2438,10100,10286,20386,1059,755,1814,119,66,185
Sukolilo,15046,14105,29151,3344,3330,6674,6161,7554,13715,5691,6061,11752,13254,13421,26675,514,594,1108,719,973,1692,8721,8955,17676,1093,876,1969,206,87,293
Mulyorejo,11421,10632,22053,2571,2369,4940,3939,5089,9028,4169,4725,8894,11305,11608,22913,305,388,693,540,761,1301,7601,7699,15300,704,480,1184,59,42,101
Gubeng,14275,13354,27629,6031,5790,11821,4662,7133,11795,7096,8183,15279,22270,21919,44189,262,369,631,1256,1749,3005,9925,10168,20093,747,536,1283,63,29,92
Wonokromo,17281,16605,33886,6849,6409,13258,6191,9377,15568,8623,10253,18876,28567,27030,55597,609,679,1288,973,1309,2282,8638,8740,17378,521,438,959,32,14,46
Dukuh Pakis,7157,6593,13750,2330,2260,4590,2920,3864,6784,3168,3433,6601,9300,9093,18393,213,239,452,464,606,1070,3704,3871,7575,305,190,495,17,13,30
Wiyung,8572,8033,16605,3121,2963,6084,3770,4841,8611,3691,3701,7392,10713,10302,21015,233,264,497,594,790,1384,5035,5133,10168,435,301,736,17,13,30
Lakarsantri,9198,8801,17999,1947,1882,3829,4131,5148,9279,3104,3065,6169,8592,7635,16227,159,206,365,272,389,661,2862,3024,5886,187,154,341,10,4,14
Sambikerep,7542,7350,14892,2952,2829,5781,3925,4998,8923,3815,4257,8072,9763,8752,18515,164,198,362,470,618,1088,3522,3472,6994,251,164,415,7,4,11
Tandes,11720,11286,23006,4047,3847,7894,3972,5734,9706,5047,5928,10975,14448,13563,28011,274,314,588,756,981,1737,4716,4721,9437,269,195,464,5,4,9
Sukomanunggal,13696,12930,26626,3760,3790,7550,5605,7441,13046,5953,6404,12357,16727,15606,32333,255,386,641,493,659,1152,4822,4819,9641,240,203,443,18,7,25
Sawahan,30621,28773,59394,5017,4902,9919,12741,17030,29771,12155,13527,25682,30310,28525,58835,313,342,655,965,1244,2209,7156,7234,14390,463,396,859,23,6,29
Tegalsari,9676,9328,19004,4647,4404,9051,4196,6221,10417,5997,6755,12752,19178,18113,37291,242,301,543,668,750,1418,3926,4067,7993,230,176,406,20,9,29
Genteng,6312,6130,12442,2493,2574,5067,3429,4523,7952,3694,4149,7843,9346,8960,18306,131,173,304,257,362,619,2796,2846,5642,146,106,252,18,5,23
Tambaksari,35947,33709,69656,4716,4677,9393,14728,18783,33511,13782,15052,28834,32079,30492,62571,667,763,1430,1037,1498,2535,8049,8439,16488,572,464,1036,27,26,53
Kenjeran,24724,23743,48467,7608,7417,15025,17977,20908,38885,11383,11326,22709,21558,18251,39809,358,388,746,312,560,872,2778,2879,5657,147,128,275,4,3,7
Bulak,6344,6128,12472,1637,1504,3141,3734,4525,8259,2921,2908,5829,5745,5305,11050,126,119,245,246,284,530,1523,1674,3197,144,95,239,10,3,13
Simokerto,12325,11961,24286,4395,3958,8353,8766,11010,19776,6493,6808,13301,12398,10939,23337,90,116,206,248,338,586,2224,2329,4553,133,80,213,6,2,8
Semampir,24165,23647,47812,9672,9566,19238,21963,26172,48135,15381,14171,29552,17278,14458,31736,257,252,509,369,453,822,2532,2554,5086,153,107,260,5,3,8
Pabean Cantian,9780,9400,19180,2176,2076,4252,6939,9059,15998,4969,5265,10234,10510,9316,19826,113,128,241,368,397,765,2403,2230,4633,125,87,212,5,0,5
Bubutan,11223,10679,21902,4445,4375,8820,6451,8808,15259,6516,7087,13603,16190,14574,30764,145,188,333,535,718,1253,3183,3298,6481,188,145,333,10,4,14
Krembangan,18200,17068,35268,3265,3170,6435,9888,13076,22964,7534,7612,15146,14208,12779,26987,414,407,821,262,388,650,3066,3064,6130,235,157,392,11,3,14
Asemrowo,8210,7708,15918,1147,1140,2287,5629,6311,11940,2852,2904,5756,4774,3931,8705,69,98,167,91,115,206,729,745,1474,64,45,109,1,0,1
Benowo,7614,7325,14939,3301,3167,6468,4966,6528,11494,4565,4880,9445,10902,9338,20240,83,116,199,325,510,835,2008,2008,4016,115,71,186,4,2,6
