,WILAYAH,SLTA SEDERAJAT_P,D1/D2_P,D3/SARJANA MUDA_P,D4/S1_P,S2_P,S3_P,TOTAL,proxy_tingkat_literasi_digital
0,Karangpilang,11578,462,772,4448,250,16,17526,1.1709432888233242
1,Jambangan,7925,273,735,4108,289,16,13346,0.8916700406616505
2,Gayungan,6362,264,543,3986,323,18,11496,0.7680682442264598
3,Wonocolo,11699,367,865,5437,376,22,18766,1.2537898983258304
4,Tenggilis Mejoyo,8489,260,701,4343,319,17,14129,0.9439836658555717
5,Gunung Anyar,7838,345,727,5343,358,20,14631,0.9775231803477151
6,Rungkut,16711,543,1351,10286,755,66,29712,1.9851116625310175
7,Sukolilo,13421,594,973,8955,876,87,24906,1.6640142389269492
8,Mulyorejo,11608,388,761,7699,480,42,20978,1.401577559793204
9,Gubeng,21919,369,1749,10168,536,29,34770,2.323045655163014
10,Wonokromo,27030,679,1309,8740,438,14,38210,2.552878184750612
11,Dukuh Pakis,9093,239,606,3871,190,13,14012,0.9361666873783191
12,Wiyung,10302,264,790,5133,301,13,16803,1.1226383705408147
13,Lakarsantri,7635,206,389,3024,154,4,11412,0.7624560545504836
14,Sambikerep,8752,198,618,3472,164,4,13208,0.8824500147654037
15,Tandes,13563,314,981,4721,195,4,19778,1.3214034215649726
16,Sukomanunggal,15606,386,659,4819,203,7,21680,1.4484794306567197
17,Sawahan,28525,342,1244,7234,396,6,37747,2.5219443297508857
18,Tegalsari,18113,301,750,4067,176,9,23416,1.564464683960228
19,Genteng,8960,173,362,2846,106,5,12452,0.8319403076816178
20,Tambaksari,30492,763,1498,8439,464,26,41682,2.7848486913576287
21,Kenjeran,18251,388,560,2879,128,3,22209,1.4838228632589985
22,Bulak,5305,119,284,1674,95,3,7480,0.49975212828931104
23,Simokerto,10939,116,338,2329,80,2,13804,0.9222698367520922
24,Semampir,14458,252,453,2554,107,3,17827,1.191053635162239
25,Pabean Cantian,9316,128,397,2230,87,0,12158,0.8122976438157011
26,Bubutan,14574,188,718,3298,145,4,18927,1.2645465952047847
27,Krembangan,12779,407,388,3064,157,3,16798,1.1223043116315303
28,Asemrowo,3931,98,115,745,45,0,4934,0.3296493316817461
29,Benowo,9338,116,510,2008,71,2,12045,0.8047479124658758
30,Pakal,8091,145,466,2374,89,5,11170,0.7462876033411235
