,WILAYAH,SLTA SEDERAJAT_P,D1/D2_P,D3/SARJANA MUDA_P,D4/S1_P,S2_P,S3_P,TOTAL,proxy_tingkat_literasi_digital
0,Karangpilang,11513,440,814,4608,279,15,17669,1.1715693685235136
1,Jambangan,7891,267,774,4399,345,18,13694,0.9080010715128755
2,Gayungan,6280,264,573,4091,357,21,11586,0.7682269909849697
3,Wonocolo,11290,349,847,5538,415,23,18462,1.2241504149460132
4,Tenggilis Mejoyo,8435,256,728,4442,322,18,14201,0.9416184618485719
5,Gunung Anyar,7808,333,755,5596,393,23,14908,0.9884971501470678
6,Rungkut,16382,515,1432,10701,839,68,29937,1.985017385561629
7,Sukolilo,13459,572,1038,9353,954,98,25474,1.6890915215217603
8,Mulyorejo,11478,373,779,7746,509,55,20940,1.388457896705098
9,Gubeng,20933,337,1760,10042,557,35,33664,2.232141673098396
10,Wonokromo,25414,633,1328,8699,449,19,36542,2.4229717507830797
11,Dukuh Pakis,8906,233,604,3897,188,14,13842,0.917814432005347
12,Wiyung,10254,263,815,5348,329,13,17022,1.1286690696138575
13,Lakarsantri,7867,208,437,3292,178,5,11987,0.7948158934003824
14,Sambikerep,8906,189,651,3747,176,5,13674,0.9066749417165956
15,Tandes,13264,309,994,4853,208,5,19633,1.3017953145182037
16,Sukomanunggal,15201,372,684,4909,217,9,21392,1.4184284301010246
17,Sawahan,27687,325,1285,7362,409,5,37073,2.458180496874312
18,Tegalsari,17236,289,744,4082,177,7,22535,1.4942167479584232
19,Genteng,8601,172,374,2876,119,6,12148,0.805491238260436
20,Tambaksari,30021,725,1605,8876,483,32,41742,2.7677654978158643
21,Kenjeran,18215,373,674,3202,148,3,22615,1.499521267143543
22,Bulak,5268,120,312,1766,97,4,7567,0.5017412084225156
23,Simokerto,10539,113,351,2394,87,1,13485,0.89414301514175
24,Semampir,13779,231,484,2566,114,4,17178,1.139012882024841
25,Pabean Cantian,8900,114,398,2189,96,1,11698,0.7756533178441373
26,Bubutan,13871,188,708,3387,153,8,18315,1.2144033609433558
27,Krembangan,12389,373,423,3168,166,5,16524,1.095648437686487
28,Asemrowo,4032,87,130,838,45,0,5132,0.3402849057254328
29,Benowo,9681,122,571,2341,94,3,12812,0.8495187474969299
30,Pakal,8401,146,529,2708,113,5,11902,0.7891798417661928
